StationID,Station
8019738,Rodalben
8019740,Rossbach(Pfalz)
8019742,Schopp
8019744,Siebeldingen-Birkweiler
8019746,Steinalben
8019747,Steinwenden
8019748,Thaleischweiler-Fröschen
8019750,Theisbergstegen
8019751,Untersulzbach
8019753,Waldfischbach
8019755,Wilgartswiesen
8019756,Wolfstein
8019773,Einsiedlerhof
8019775,Pirmasens Hbf
8019778,Zweibrücken Hbf
8019782,Stambach(Pfalz)
8019783,Höhmühlbach
8019787,Kapsweyer (D)
8020286,München Pasing
8020347,München Hbf$Monaco (D)$<4>$München$<4>
8020348,München Hbf Gl. 27-36
8020550,München Hackerbrücke
8020581,München Hbf (Tief)
8021854,Freiburg (Breisgau) Busbahnhof
8022193,Nürnberg Hbf
8022194,Nürnberg Hbf (U)
8022228,Nürnberg-Schweinau
8022534,Würzburg Hbf
8022610,Aschaffenburg Hbf
8022611,Aschaffenburg Süd
8022628,Kleinwallstadt
8022629,Obernburg-Elsenfeld
8022637,Erlenbach (D)
8022639,Klingenberg (Main)
8022640,Laudenbach am Main
8022641,Kleinheubach
8022643,Breitendiel
8022644,Weilbach(Unterfr)
8022645,Amorbach
8022646,Schneeberg im Odenwald
8022648,Miltenberg
8022650,Freudenberg (Main)
8022651,Collenberg
8022652,Dorfprozelten
8022653,Stadtprozelten
8022654,Faulbach (Main)
8022656,Hasloch (Main)
8022668,Würzburg Süd
8022717,Rosstal
8022721,Heilsbronn
8022722,Wicklesgreuth
8022727,Sachsen (b Ansbach)
8022728,Ansbach
8022742,Dombühl
8022744,Schnelldorf
8023788,Sinsheim Museum/Arena
8023792,Hohensülzen (D)
8023885,"Untergrombach, Bahnhof"
8024996,Kapellen-Drusweiler
8025181,Trier Hbf
8025183,Trier Süd
8025184,Karthaus
8025286,Neubrücke (Nahe)
8025287,Nohfelden
8025291,Türkismühle
8025292,Walhausen (Saar)
8025293,Namborn
8025294,Hofeld
8025295,Baltersweiler
8025296,St Wendel
8025297,Oberlinxweiler
8025298,Niederlinxweiler
8025299,Ottweiler (Saar)
8025300,Wiebelskirchen
8025340,Siersburg
8025341,Hemmersdorf(Saar)
8025342,Niedaltdorf
8025345,Dillingen (Saar)
8025347,Beckingen (Saar)
8025348,Fremersdorf
8025349,Merzig(Saar)
8025351,Besseringen
8025352,Mettlach
8025353,Saarhölzbach
8025354,Taben
8025355,Serrig
8025356,Saarburg (Bz Trier)
8025357,Schoden-Ockfen
8025358,Wiltingen(Saar)
8025359,Kanzem
8025360,Konz
8025361,Saarlouis Hbf
8025362,Ensdorf(Saar)
8025364,Bous (Saar)
8025366,Völklingen (D)
8025384,Luisenthal(Saar)
8025385,Saarbrücken-Burbach
8025391,Saarbrücken Hbf
8025396,FORBACH (FR)
8025418,HANWEILER (GR)
8025419,Jägersfreude
8025420,Dudweiler
8025422,Sulzbach (Saar)
8025423,Sulzbach (Saar) Altenwald
8025424,Friedrichsthal (Saar)
8025425,Bildstock
8025426,Landsweiler-Reden
8025431,Fischbach-Camphausen
8025434,Quierschied
8025435,Merchweiler
8025437,Wemmetsweiler Rathaus
8025438,Schiffweiler
8025439,Illingen(Saar)
8025440,Wustweiler
8025441,Dirmingen
8025442,Eppelborn
8025443,Bubach
8025444,Lebach
8025446,Neunkirchen(Saar) Hbf
8025454,Neunkirchen(Saar)-Wellesweiler
8025455,Bexbach
8025459,Homburg(Saar) Hbf
8025461,Limbach (b Homburg Saar)
8025462,Kirkel
8025463,Rohrbach (Saar)
8025464,St Ingbert
8025465,Rentrisch
8025466,Scheidt (Saar)
8025467,Schafbrücke
8025468,Saarbrücken Ost
8025469,Hassel(Saar)
8025470,Würzbach(Saar)
8025471,Blieskastel-Lautzkirchen
8025472,Bierbach
8025482,Einöd(Saar)
8028720,"Weil der Stadt, Bahnhof"
8029003,Maulbronn West
8029004,Maulbronn Stadt
